2022-01, 13.6
2022-02, 13.8
2022-03, 13.8
2022-04, 13.1
2022-05, 12.5
2022-06, 12.4
2022-07, 12.4
2022-08, 12.8
2022-09, 13.0
2022-10, 13.0
2022-11, 13.0
2022-12, 13.0
2023-01, 13.6
2023-02, 13.6
2023-03, 13.0
2023-04, 12.1
2023-05, 11.6
2023-06, 11.4
2023-07, 11.7
2023-08, 11.9
2023-09, 12.1
2023-10, 11.9
2023-11, 11.7
2023-12, 11.7
2024-01, 12.3
2024-02, 12.4
2024-03, 12.2
2024-04, 11.6
2024-05, 11.2
2024-06, 11.1
2024-07, 11.2
2024-08, 11.3
2024-09, 11.1
2024-10, 10.8
2024-11, 10.5
2024-12, 10.6
2025-01, 11.2
2025-02, 11.5
2025-03, 11.5
2025-04, 10.9
2025-05, 
